comparison	query_sequence	target_sequence	strand	alignment_count	matching_bp	alignment_block_bp	identity_pct
hapa_vs_hapb	Chromosome_7B	Chromosome_1A	+	345	303570	2044029	14.8516
hapa_vs_hapb	Chromosome_10B	Chromosome_4A	-	189	749796	2026110	37.0067
hapa_vs_hapb	Chromosome_1B	Chromosome_2A	-	318	228715	2007473	11.3932
hapa_vs_hapb	Chromosome_2B	Chromosome_3A	-	280	324954	1969554	16.4989
hapa_vs_hapb	Chromosome_7B	Chromosome_2A	+	321	240269	1955168	12.2889
hapa_vs_hapb	Chromosome_7B	Chromosome_6A	+	248	634118	1925098	32.9395
hapa_vs_hapb	Chromosome_3B	Chromosome_9A	-	227	336728	1919903	17.5388
hapa_vs_hapb	Chromosome_1B	Chromosome_2A	+	312	257296	1906123	13.4984
hapa_vs_hapb	Chromosome_3B	Chromosome_8A	+	159	547029	1896361	28.8462
hapa_vs_hapb	Chromosome_7B	Chromosome_8A	-	182	319766	1889789	16.9207
hapa_vs_hapb	Chromosome_4B	Chromosome_3A	+	206	223934	1848930	12.1115
hapa_vs_hapb	Chromosome_2B	Chromosome_5A	+	268	287029	1836803	15.6266
hapa_vs_hapb	Chromosome_7B	Chromosome_5A	-	355	326222	1821478	17.9097
hapa_vs_hapb	Chromosome_7B	Chromosome_5A	+	306	361360	1759187	20.5413
hapa_vs_hapb	Chromosome_2B	Chromosome_8A	-	110	586525	1710585	34.2880
hapa_vs_hapb	Chromosome_4B	Chromosome_1A	+	174	179992	1704482	10.5599
hapa_vs_hapb	Chromosome_7B	Chromosome_1A	-	360	268463	1690907	15.8769
hapa_vs_hapb	Chromosome_8B	Chromosome_5A	-	392	336791	1690288	19.9251
hapa_vs_hapb	Chromosome_3B	Chromosome_5A	-	338	491492	1671526	29.4038
hapa_vs_hapb	Chromosome_1B	Chromosome_3A	+	276	277937	1670166	16.6413
hapa_vs_hapb	Chromosome_1B	Chromosome_3A	-	289	256989	1652239	15.5540
hapa_vs_hapb	Chromosome_3B	Chromosome_2A	-	393	316896	1651783	19.1851
hapa_vs_hapb	Chromosome_7B	Chromosome_8A	+	172	223426	1641163	13.6139
hapa_vs_hapb	Chromosome_1B	Chromosome_8A	+	141	292665	1635414	17.8955
hapa_vs_hapb	Chromosome_9B	Chromosome_3A	+	190	183185	1630734	11.2333
hapa_vs_hapb	Chromosome_2B	Chromosome_9A	+	176	242958	1613671	15.0562
hapa_vs_hapb	Chromosome_2B	Chromosome_5A	-	295	231363	1607511	14.3926
hapa_vs_hapb	Chromosome_7B	Chromosome_9A	+	202	289674	1601691	18.0855
hapa_vs_hapb	Chromosome_10B	Chromosome_9A	+	134	380986	1596382	23.8656
hapa_vs_hapb	Chromosome_1B	Chromosome_7A	-	155	336858	1588248	21.2094
hapa_vs_hapb	Chromosome_5B	Chromosome_4A	+	158	306386	1583623	19.3472
hapa_vs_hapb	Chromosome_8B	Chromosome_6A	+	301	416387	1566200	26.5858
hapa_vs_hapb	Chromosome_2B	Chromosome_1A	+	307	265142	1564602	16.9463
hapa_vs_hapb	Chromosome_1B	Chromosome_5A	-	297	320971	1560795	20.5646
hapa_vs_hapb	Chromosome_1B	Chromosome_8A	-	104	689474	1536364	44.8770
hapa_vs_hapb	Chromosome_9B	Chromosome_3A	-	188	290302	1524820	19.0384
hapa_vs_hapb	Chromosome_4B	Chromosome_5A	+	207	314329	1507512	20.8508
hapa_vs_hapb	Chromosome_4B	Chromosome_3A	-	176	249622	1493972	16.7086
hapa_vs_hapb	Chromosome_5B	Chromosome_2A	-	173	190986	1489765	12.8199
hapa_vs_hapb	Chromosome_10B	Chromosome_4A	+	176	168408	1488381	11.3148
hapa_vs_hapb	Chromosome_2B	Chromosome_7A	-	180	307617	1482597	20.7485
hapa_vs_hapb	Chromosome_9B	Chromosome_7A	+	122	381893	1459140	26.1725
hapa_vs_hapb	Chromosome_5B	Chromosome_4A	-	138	206615	1452090	14.2288
hapa_vs_hapb	Chromosome_10B	Chromosome_6A	-	119	305403	1445585	21.1266
hapa_vs_hapb	Chromosome_1B	Chromosome_4A	-	249	279353	1438094	19.4252
hapa_vs_hapb	Chromosome_1B	Chromosome_6A	+	168	248725	1426895	17.4312
hapa_vs_hapb	Chromosome_4B	Chromosome_5A	-	186	219264	1423071	15.4078
hapa_vs_hapb	Chromosome_4B	Chromosome_1A	-	205	191763	1413113	13.5703
hapa_vs_hapb	Chromosome_4B	Chromosome_8A	+	89	623334	1412050	44.1439
hapa_vs_hapb	Chromosome_1B	Chromosome_7A	+	168	356637	1400874	25.4582
hapa_vs_hapb	Chromosome_1B	Chromosome_9A	+	172	273204	1388337	19.6785
hapa_vs_hapb	Chromosome_9B	Chromosome_5A	-	191	162583	1372241	11.8480
hapa_vs_hapb	Chromosome_9B	Chromosome_4A	+	266	316782	1356392	23.3548
hapa_vs_hapb	Chromosome_4B	Chromosome_9A	-	177	218269	1332248	16.3835
hapa_vs_hapb	Chromosome_4B	Chromosome_2A	-	193	206360	1328196	15.5369
hapa_vs_hapb	Chromosome_5B	Chromosome_1A	+	165	174488	1310337	13.3163
hapa_vs_hapb	Chromosome_7B	Chromosome_9A	-	179	199799	1301591	15.3504
hapa_vs_hapb	Chromosome_10B	Chromosome_3A	+	257	194627	1293153	15.0506
hapa_vs_hapb	Chromosome_8B	Chromosome_10A	+	181	238126	1280510	18.5962
hapa_vs_hapb	Chromosome_9B	Chromosome_2A	+	217	368482	1276594	28.8645
hapa_vs_hapb	Chromosome_10B	Chromosome_5A	+	173	211805	1263906	16.7580
hapa_vs_hapb	Chromosome_2B	Chromosome_9A	-	185	248153	1262675	19.6530
hapa_vs_hapb	Chromosome_9B	Chromosome_2A	-	216	159883	1260352	12.6856
hapa_vs_hapb	Chromosome_10B	Chromosome_7A	-	127	224612	1257558	17.8610
hapa_vs_hapb	Chromosome_10B	Chromosome_1A	+	188	359638	1235747	29.1029
hapa_vs_hapb	Chromosome_5B	Chromosome_1A	-	190	157834	1223186	12.9035
hapa_vs_hapb	Chromosome_1B	Chromosome_9A	-	197	173337	1213949	14.2788
hapa_vs_hapb	Chromosome_7B	Chromosome_2A	-	283	205746	1180371	17.4306
hapa_vs_hapb	Chromosome_6B	Chromosome_2A	+	165	128615	1179558	10.9037
hapa_vs_hapb	Chromosome_2B	Chromosome_7A	+	188	327133	1158938	28.2270
hapa_vs_hapb	Chromosome_6B	Chromosome_7A	+	113	304910	1154434	26.4121
hapa_vs_hapb	Chromosome_6B	Chromosome_1A	+	180	135865	1148949	11.8252
hapa_vs_hapb	Chromosome_9B	Chromosome_1A	+	206	329491	1145641	28.7604
hapa_vs_hapb	Chromosome_9B	Chromosome_8A	+	95	213505	1130935	18.8786
hapa_vs_hapb	Chromosome_9B	Chromosome_7A	-	134	137684	1129278	12.1922
hapa_vs_hapb	Chromosome_5B	Chromosome_2A	+	154	109141	1128995	9.6671
hapa_vs_hapb	Chromosome_7B	Chromosome_6A	-	186	229046	1121522	20.4228
hapa_vs_hapb	Chromosome_6B	Chromosome_1A	-	176	125343	1115027	11.2413
hapa_vs_hapb	Chromosome_6B	Chromosome_9A	+	118	244797	1113143	21.9915
hapa_vs_hapb	Chromosome_10B	Chromosome_8A	+	102	323579	1109620	29.1612
hapa_vs_hapb	Chromosome_4B	Chromosome_7A	-	112	198405	1103570	17.9785
hapa_vs_hapb	Chromosome_2B	Chromosome_6A	+	174	187528	1098606	17.0696
hapa_vs_hapb	Chromosome_5B	Chromosome_9A	-	119	227707	1083161	21.0225
hapa_vs_hapb	Chromosome_9B	Chromosome_6A	-	123	121030	1071922	11.2909
hapa_vs_hapb	Chromosome_10B	Chromosome_9A	-	124	208155	1063541	19.5719
hapa_vs_hapb	Chromosome_5B	Chromosome_3A	+	144	102466	1031010	9.9384
hapa_vs_hapb	Chromosome_9B	Chromosome_4A	-	187	182123	1029080	17.6977
hapa_vs_hapb	Chromosome_5B	Chromosome_3A	-	138	155412	1024554	15.1687
hapa_vs_hapb	Chromosome_4B	Chromosome_6A	+	118	176234	1013540	17.3880
hapa_vs_hapb	Chromosome_6B	Chromosome_5A	+	177	151776	1008631	15.0477
hapa_vs_hapb	Chromosome_4B	Chromosome_7A	+	124	137916	1008446	13.6761
hapa_vs_hapb	Chromosome_7B	Chromosome_10A	-	124	280216	1003179	27.9328
hapa_vs_hapb	Chromosome_10B	Chromosome_1A	-	178	225930	1000016	22.5926
hapa_vs_hapb	Chromosome_4B	Chromosome_2A	+	180	184920	982463	18.8221
hapa_vs_hapb	Chromosome_2B	Chromosome_6A	-	155	204418	955140	21.4019
hapa_vs_hapb	Chromosome_5B	Chromosome_7A	-	98	123846	947115	13.0761
hapa_vs_hapb	Chromosome_2B	Chromosome_10A	-	102	98920	940567	10.5171
hapa_vs_hapb	Chromosome_6B	Chromosome_5A	-	200	182923	939403	19.4723
hapa_vs_hapb	Chromosome_10B	Chromosome_8A	-	96	169571	927351	18.2855
hapa_vs_hapb	Chromosome_10B	Chromosome_2A	-	189	185460	923772	20.0764
hapa_vs_hapb	Chromosome_1B	Chromosome_10A	-	79	111436	914315	12.1879
hapa_vs_hapb	Chromosome_4B	Chromosome_6A	-	118	170602	910410	18.7390
hapa_vs_hapb	Chromosome_1B	Chromosome_6A	-	190	165367	904855	18.2755
hapa_vs_hapb	Chromosome_5B	Chromosome_7A	+	101	246908	900313	27.4247
hapa_vs_hapb	Chromosome_4B	Chromosome_8A	-	81	366874	898903	40.8135
hapa_vs_hapb	Chromosome_9B	Chromosome_5A	+	208	214568	895243	23.9676
hapa_vs_hapb	Chromosome_1B	Chromosome_10A	+	105	137392	888473	15.4638
hapa_vs_hapb	Chromosome_6B	Chromosome_9A	-	113	141170	884089	15.9678
hapa_vs_hapb	Chromosome_6B	Chromosome_7A	-	113	185319	883304	20.9802
hapa_vs_hapb	Chromosome_6B	Chromosome_4A	-	166	247377	872428	28.3550
hapa_vs_hapb	Chromosome_7B	Chromosome_10A	+	102	230707	860283	26.8176
hapa_vs_hapb	Chromosome_10B	Chromosome_5A	-	173	179936	853030	21.0937
hapa_vs_hapb	Chromosome_3B	Chromosome_10A	+	141	182611	810260	22.5373
hapa_vs_hapb	Chromosome_5B	Chromosome_6A	+	96	114295	807599	14.1524
hapa_vs_hapb	Chromosome_5B	Chromosome_6A	-	89	122994	804135	15.2952
hapa_vs_hapb	Chromosome_9B	Chromosome_6A	+	120	143703	792088	18.1423
hapa_vs_hapb	Chromosome_9B	Chromosome_1A	-	221	171036	792044	21.5943
hapa_vs_hapb	Chromosome_9B	Chromosome_8A	-	80	147777	766795	19.2720
hapa_vs_hapb	Chromosome_9B	Chromosome_10A	+	100	78871	708909	11.1257
hapa_vs_hapb	Chromosome_10B	Chromosome_7A	+	103	162249	703627	23.0590
hapa_vs_hapb	Chromosome_6B	Chromosome_2A	-	160	144507	695995	20.7626
hapa_vs_hapb	Chromosome_4B	Chromosome_9A	+	108	133277	680641	19.5811
hapa_vs_hapb	Chromosome_10B	Chromosome_2A	+	144	119950	674990	17.7706
hapa_vs_hapb	Chromosome_4B	Chromosome_10A	+	66	62289	663823	9.3834
hapa_vs_hapb	Chromosome_6B	Chromosome_6A	+	103	69004	627687	10.9934
hapa_vs_hapb	Chromosome_6B	Chromosome_6A	-	149	103893	622624	16.6863
hapa_vs_hapb	Chromosome_3B	Chromosome_10A	-	142	151593	592490	25.5857
hapa_vs_hapb	Chromosome_5B	Chromosome_8A	+	57	132990	556944	23.8785
hapa_vs_hapb	Chromosome_5B	Chromosome_9A	+	97	83554	544028	15.3584
hapa_vs_hapb	Chromosome_4B	Chromosome_10A	-	63	64471	527098	12.2313
hapa_vs_hapb	Chromosome_10B	Chromosome_3A	-	143	138508	512420	27.0302
hapa_vs_hapb	Chromosome_9B	Chromosome_10A	-	95	73154	494813	14.7842
hapa_vs_hapb	Chromosome_10B	Chromosome_6A	+	125	100129	488430	20.5002
hapa_vs_hapb	Chromosome_2B	Chromosome_10A	+	100	90500	480395	18.8387
hapa_vs_hapb	Chromosome_5B	Chromosome_10A	-	51	50112	473443	10.5846
hapa_vs_hapb	Chromosome_5B	Chromosome_8A	-	51	48970	424304	11.5413
hapa_vs_hapb	Chromosome_5B	Chromosome_10A	+	40	77926	402807	19.3457
hapa_vs_hapb	Chromosome_6B	Chromosome_8A	-	54	35192	318755	11.0405
hapa_vs_hapb	Chromosome_6B	Chromosome_10A	-	37	61799	312533	19.7736
hapa_vs_hapb	Chromosome_6B	Chromosome_8A	+	47	105740	306355	34.5155
hapa_vs_hapb	Chromosome_6B	Chromosome_10A	+	66	53506	276014	19.3852
